Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,instr.started,instructions.started,ready.started,instr.stopped,ready.keys,ready.rt,ready.duration,contrast.started,ISI_2.started,target_2.started,fixation_2.started,noise_2.started,target_2.stopped,resp_2.started,noise_2.stopped,contrast.stopped,staircase.response,resp_2.rt,resting.started,Rest.started,ready_2.started,Rest.stopped,resting.stopped,ready_2.keys,ready_2.rt,ready_2.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.003893125001923181,0.007829999987734482,0.007829999987734482,480.07564041699516,a,465.7058220839972,None,,,,,,,,,,,,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,0,0.305,0.8,480.08588254200004,,,,,,,,,480.0769938329904,0.0015502079913858324,480.58815566699195,480.58815566699195,480.87257774999307,480.88512566698773,481.0218557499902,481.16942766698776,481.53837112498877,1,-13.825254375013174,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,1,0.305,0.49500000000000005,481.551734749999,,,,,,,,,481.5385293329891,0.00016204100393224508,482.05523758300114,482.05523758300114,482.3265932919894,482.3425638329936,482.477041457998,482.6243620419991,482.85944695799844,1,-13.95040945801884,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,2,0.305,0.19000000000000006,482.8648289999983,,,,,,,,,482.85956866700144,0.00014045799616724253,483.36548583299736,483.36548583299736,483.64749587498954,483.6642283330002,483.797776833002,483.9454152919934,484.1637451669958,1,-13.965885916011757,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,3,0.212,0.0,484.1695169579907,,,,,,,,,484.16387266699167,0.00014025000564288348,484.66986287500185,484.66986287500185,484.95239249999577,484.9656480419944,485.10223449999467,485.24990270799026,485.53504766699916,0,-13.898228250007378,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,4,0.212,0.212,485.5377857499989,,,,,,,,,485.53517995799484,0.00014070799807086587,486.0410384579882,486.0410384579882,486.3231039169914,486.339133417001,486.4735071249888,486.6211317080015,486.839739499992,1,-13.964014750017668,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,5,0.212,0.212,486.842496207988,,,,,,,,,486.83985887499875,0.00014541699783876538,487.3457328749937,487.3457328749937,487.62732720799977,487.64461274999485,487.77770620799856,487.92545554199023,488.12727491700207,1,-13.984127125018858,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,6,0.147,0.212,488.12981929199304,,,,,,,,,488.12741174999974,0.0001433750003343448,488.6331673329987,488.6331673329987,488.91550570799154,488.92890487499244,489.0668324579892,489.21317820799595,489.49853916699067,1,-13.902822709016618,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,7,0.147,0.065,489.5037682080001,,,,,,,,,489.4986728329968,0.00013866699009668082,490.0046067499934,490.0046067499934,490.28631849998783,490.3028270829964,490.43683616699127,490.5845008329925,490.8030270829913,1,-13.96831187501084,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,8,0.147,0.065,490.8081740829948,,,,,,,,,490.80314837499463,0.0001471659925300628,491.30915616700076,491.30915616700076,491.59097654199286,491.60689337499207,491.7409167500009,491.888916291995,492.1742734169966,1,-13.898969334011781,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,9,0.147,0.065,492.1795602499915,,,,,,,,,492.17438758299977,0.0001535420014988631,492.68011683299846,492.68011683299846,492.9620308750018,492.9793211669894,493.1129107500019,493.26024920798955,493.5652928749914,1,-13.877791666003759,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,10,0.102,0.0,493.57797658299387,,,,,,,,,493.56541441699665,0.0001381250040140003,494.0791146669944,494.0791146669944,494.3639409999887,494.3666129579942,494.50052508299996,494.6513681669894,494.9873389169952,0,-13.843841625013738,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,11,0.102,0.102,494.999398999993,,,,,,,,,494.9874617919995,0.0001405420043738559,495.493478999997,495.493478999997,495.785418792002,495.78903183298826,495.93587170798855,496.07281233299,496.3382296669879,1,-13.931216417011456,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,12,0.102,0.102,496.34075366699835,,,,,,,,,496.3383522919903,0.00016112500452436507,496.84421616699547,496.84421616699547,497.12607679198845,497.14228320799884,497.27649612499226,497.42418454198923,497.72953491700173,1,-13.876901250012452,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,13,0.071,0.102,497.7419336249877,,,,,,,,,497.7296498749929,0.00013524999667424709,498.23547062498983,498.23547062498983,498.5278743329982,498.5302855829941,498.67842312499124,498.8151052920002,498.9671031249891,1,-14.041314583009807,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
0,0,0,0,14,0.071,0.031,498.97942512499867,,,,,,,,,498.96722299999965,0.0001364579948130995,499.47316191699065,499.47316191699065,499.76540083299915,499.7677797919896,499.9159599169943,500.0529251249973,500.30153195800085,1,-13.952283417005674,,,,,,,,,P001,2023-08-03_11h27.18.046,2AFC,2023.2.0,None,2023-08-03 11h27.26.981853 -0300,
