Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,instr.started,instructions.started,ready.started,instr.stopped,ready.keys,ready.rt,ready.duration,contrast.started,ISI_2.started,target_2.started,fixation_2.started,target_2.stopped,noise_2.started,resp_2.started,noise_2.stopped,contrast.stopped,staircase.response,resp_2.rt,resting.started,Rest.started,ready_2.started,Rest.stopped,resting.stopped,ready_2.keys,ready_2.rt,ready_2.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0039051659987308085,0.00932674999057781,0.00932674999057781,12.722612665995257,l,-3.875456125009805,None,,,,,,,,,,,,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,0,0.53584112,0.5,12.735580290987855,,,,,,,,,12.724113290998503,0.0016918339970288798,13.23297966599057,13.23297966599057,13.520463249995373,13.520463249995373,13.670559499994852,13.818885916,14.191058124997653,1,-16.032827125003678,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,1,0.53584112,0.001,14.203446790997987,,,,,,,,,14.191206915988005,0.00014749998808838427,14.697421207994921,14.697421207994921,14.992866040993249,14.989640915999189,15.140223415990476,15.277775165988714,15.67626733299403,1,-16.01890608301619,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,2,0.24871541,0.001,15.69107920800161,,,,,,,,,15.676397165996605,0.00013987500278744847,16.182677832999616,16.182677832999616,16.480356749991188,16.464067957989755,16.61464287499257,16.762230790991453,17.030743290990358,0,-16.143347875011386,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,3,0.24871541,0.24971541,17.03665091599396,,,,,,,,,17.030876457996783,0.00013662499259226024,17.5371577909973,17.5371577909973,17.835662124998635,17.819152957992628,17.969353874999797,18.116956290992675,18.28529783299018,1,-16.23703254200518,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,4,0.24871541,0.24971541,18.287746499991044,,,,,,,,,18.285413665988017,0.00013579199730884284,18.801922082988312,18.801922082988312,19.090127915987978,19.07291287499538,19.224013915998512,19.37096741599089,19.622960957989562,1,-16.165598917010357,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,5,0.11544347,0.24971541,19.628365915996255,,,,,,,,,19.623077290991205,0.00013766599295195192,20.12901045799663,20.12901045799663,20.428043540989165,20.410646915988764,20.56101774999115,20.708900124998763,20.944053790997714,1,-16.175737167010084,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,6,0.11544347,0.13427193999999998,20.949771624989808,,,,,,,,,20.944180874997983,0.0001417500025127083,21.450168290990405,21.450168290990405,21.74900429099216,21.731812790996628,21.882060290998197,22.029957540988107,22.24854079099896,1,-16.18974754199735,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,7,0.11544347,0.13427193999999998,22.25113170799159,,,,,,,,,22.248662665995653,0.00014479200763162225,22.754783625001437,22.754783625001437,23.052488874993287,23.035982040993986,23.1865289999987,23.334406499998295,23.552673874990433,1,-16.189853000003495,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,8,0.11544347,0.13427193999999998,23.55552166599955,,,,,,,,,23.55277508299332,0.00011854199692606926,24.059068040995044,24.059068040995044,24.357674499988207,24.340600083000027,24.491244082993944,24.638742915994953,24.790307707997272,1,-16.257257916993694,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,9,0.11544347,0.018828469999999972,24.793286540996633,,,,,,,,,24.79042604099959,0.0001396669977111742,25.30714745799196,25.30714745799196,25.594595999995363,25.578377915997407,25.728600207992713,25.876227125001606,26.114584499999182,1,-16.167333417004556,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,10,0.11544347,0.018828469999999972,26.126960790992598,,,,,,,,,26.114703332990757,0.0001376250002067536,26.62087212500046,26.62087212500046,26.916232791001676,26.912966791001963,27.063628666001023,27.20027920800203,27.53280874999473,1,-16.0844273330149,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,11,0.11544347,0.018828469999999972,27.535523790997104,,,,,,,,,27.53292466599669,0.00013741700968239456,28.03894295799546,28.03894295799546,28.336919707988272,28.320881207997445,28.471097457993892,28.618877290995442,28.90764541599492,1,-16.116745292005362,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
0,0,0,0,12,0.05358411,0.001,28.919699082995066,,,,,,,,,28.907761875001597,0.00013383300392888486,29.413754332999815,29.413754332999815,29.708389291001367,29.70585241599474,29.856280874999356,29.993433124996955,30.308994207996875,0,-16.111261333004222,,,,,,,,,P005,2023-08-03_15h19.26.107,2AFC,2023.2.0,None,2023-08-03 15h19.35.871709 -0300,
