Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,instr.started,instructions.started,ready.started,instr.stopped,ready.keys,ready.rt,ready.duration,contrast.started,ISI_2.started,target_2.started,fixation_2.started,noise_2.started,target_2.stopped,resp_2.started,noise_2.stopped,contrast.stopped,staircase.response,resp_2.rt,resting.started,Rest.started,ready_2.started,Rest.stopped,resting.stopped,ready_2.keys,ready_2.rt,ready_2.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.004320042004110292,0.007980042006238364,0.007980042006238364,1.8372286670055473,a,-12.794794041008572,None,,,,,,,,,,,,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,0,0.53584112,0.5,1.8471529170055874,,,,,,,,,1.8387112920026993,0.0016744169988669455,2.348071041997173,2.348071041997173,2.6263899589976063,2.641540917000384,2.776170541997999,2.923021541995695,3.275446750005358,1,-14.100276248995215,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,1,0.24871541,0.0,3.2901264170068316,,,,,,,,,3.2755962920055026,0.0001601249969098717,3.7817356669984292,3.7817356669984292,4.063248292004573,4.079513000004226,4.213675709004747,4.361278416996356,4.780487791998894,0,-14.029077665996738,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,2,0.24871541,0.24871541,4.785898333997466,,,,,,,,,4.780618417004007,0.00014933299098629504,5.286475041997619,5.286475041997619,5.568782667003688,5.585252999997465,5.7193280840001535,5.866339792002691,6.104508167001768,1,-14.208893457005615,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,3,0.24871541,0.24871541,6.117094166998868,,,,,,,,,6.104609125002753,0.00012616600724868476,6.61070941700018,6.61070941700018,6.903072417000658,6.9054788750072476,7.05359291700006,7.191114959001425,7.305536708998261,1,-14.348570332993404,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,4,0.11544347,0.24871541,7.31095254200045,,,,,,,,,7.305652958995779,0.00014316699525807053,7.811923333996674,7.811923333996674,8.093400500001735,8.110414417009451,8.2444387919968,8.39153045900457,8.492844916996546,1,-14.346933749999152,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,5,0.11544347,0.13327193999999998,8.497965667003882,,,,,,,,,8.492977917005192,0.00014729099348187447,8.99864183399768,8.99864183399768,9.2806827089953,9.297131375002209,9.431259125005454,9.578836375003448,9.864174417001777,1,-14.161209790996509,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,6,0.11544347,0.13327193999999998,9.866770209002425,,,,,,,,,9.864292084006593,0.00015854199591558427,10.370550167004694,10.370550167004694,10.652006792006432,10.668534291995456,10.802613542007748,10.950106584001333,11.219007499996223,1,-14.182688540997333,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,7,0.11544347,0.13327193999999998,11.224136083998019,,,,,,,,,11.219131834004656,0.00015995900321286172,11.725042792008026,11.725042792008026,12.00686691699957,12.0229850839969,12.157288041998981,12.304779250000138,12.609773333999328,1,-14.14109633199405,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,8,0.11544347,0.01782846999999997,12.622522167002899,,,,,,,,,12.60988937500224,0.0001256669929716736,13.115818667007261,13.115818667007261,13.40833395899972,13.411862666995148,13.5588678750064,13.69568900000013,13.961333375002141,1,-14.193023874002392,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,9,0.11544347,0.01782846999999997,13.966746417005197,,,,,,,,,13.961468124995008,0.000145875004818663,14.46737983400817,14.46737983400817,14.749168167007156,14.765521499997703,14.899784584005829,15.047288375004428,15.352456334003364,1,-14.141406415990787,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,10,0.11544347,0.01782846999999997,15.365049708998413,,,,,,,,,15.352574584001559,0.00013308299821801484,15.858222459006356,15.858222459006356,16.151009584005806,16.153517500002636,16.30151379200106,16.438159500001348,16.68720216699876,1,-14.215166123991366,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
0,0,0,0,11,0.05358411,0.0,16.69258233399887,,,,,,,,,16.68735116699827,0.0001615410001249984,17.19333424999786,17.19333424999786,17.475589124995167,17.491254167005536,17.62560491700424,17.77308687500772,17.924548541996046,0,-14.302517623989843,,,,,,,,,P002,2023-08-03_12h02.25.158,2AFC,2023.2.0,None,2023-08-03 12h02.34.493796 -0300,
